target,candidate,window,role,feature,n_oos,rmse,rmse_base,rmse_ratio,mape_%,hit,hit_base,vs_baseline
rev_yoy,dd_rel_plc,d30,candidate,dd_rel_plc_d30,13,0.032313684728855985,0.019969430552811713,1.618157545524311,8.979223110614514,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,d30,control,ctrl_rel_plc_d30,13,0.04735205642584041,0.019969430552811713,2.3712271764891764,15.247581761490888,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,d45,candidate,dd_rel_plc_d45,13,0.033337679499962365,0.019969430552811713,1.6694356612621781,9.142879186439194,0.3076923076923077,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,d45,control,ctrl_rel_plc_d45,13,0.050185843834593485,0.019969430552811713,2.513133446738534,15.89367346673353,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,d60,candidate,dd_rel_plc_d60,13,0.033762589607870805,0.019969430552811713,1.690713689535679,9.241182843760253,0.3076923076923077,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,d60,control,ctrl_rel_plc_d60,13,0.05103302910552821,0.019969430552811713,2.555557554361144,15.874162051386175,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,full,candidate,dd_rel_plc_full,13,0.03465906532114196,0.019969430552811713,1.7356060919955445,10.33465810373684,0.46153846153846156,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel_plc,full,control,ctrl_rel_plc_full,13,0.05488118015710495,0.019969430552811713,2.7482596467618166,16.53436279697234,0.6923076923076923,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,d30,candidate,dd_rel_d30,13,0.04202194987238088,0.019969430552811713,2.104313879218962,12.279672446116068,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,d30,control,plc_rel_d30,13,0.04735205642584041,0.019969430552811713,2.3712271764891764,15.247581761490888,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,d45,candidate,dd_rel_d45,13,0.04238486995221573,0.019969430552811713,2.122487661334334,12.940408390140146,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,d45,control,plc_rel_d45,13,0.050185843834593485,0.019969430552811713,2.513133446738534,15.89367346673353,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,d60,candidate,dd_rel_d60,13,0.04567606646826856,0.019969430552811713,2.2872993973199365,14.156045542528528,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,d60,control,plc_rel_d60,13,0.05103302910552821,0.019969430552811713,2.555557554361144,15.874162051386175,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,full,candidate,dd_rel_full,13,0.05295308294849122,0.019969430552811713,2.6517072085981632,15.628948173660032,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_rel,full,control,plc_rel_full,13,0.05488118015710495,0.019969430552811713,2.7482596467618166,16.53436279697234,0.6923076923076923,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,d30,candidate,dd_abs_d30,13,0.0226953702876659,0.019969430552811713,1.1365056318278626,7.244413198362838,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,d30,control,plc_abs_d30,13,0.03950526686323294,0.019969430552811713,1.978287100313462,12.347770174672885,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,d45,candidate,dd_abs_d45,13,0.026600012797835703,0.019969430552811713,1.332036621048786,8.555614720383685,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,d45,control,plc_abs_d45,13,0.0396939306634637,0.019969430552811713,1.9877347307670103,12.661226077184528,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,d60,candidate,dd_abs_d60,13,0.02768354922267353,0.019969430552811713,1.3862963768276138,9.27579514927483,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,d60,control,plc_abs_d60,13,0.04052683391114896,0.019969430552811713,2.0294436440724017,12.691461051659084,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,full,candidate,dd_abs_full,13,0.03016538895163214,0.019969430552811713,1.5105783247977909,9.907941477308661,0.5384615384615384,0.7692307692307693,guidance + auto-window beat
rev_yoy,dd_abs,full,control,plc_abs_full,13,0.04228328489362066,0.019969430552811713,2.1174006330224144,12.911303057587942,0.6153846153846154,0.7692307692307693,guidance + auto-window beat
beat_vs_guide,dd_rel_plc,d30,candidate,dd_rel_plc_d30,14,0.016194636811065886,0.011874735244577425,1.3637892952991213,38.0062129950702,0.35714285714285715,0.0,random walk
beat_vs_guide,dd_rel_plc,d30,control,ctrl_rel_plc_d30,14,0.018937687136900885,0.011874735244577425,1.5947881571127023,44.33830263650114,0.2857142857142857,0.0,random walk
beat_vs_guide,dd_rel_plc,d45,candidate,dd_rel_plc_d45,14,0.01615576746132565,0.011874735244577425,1.3605160139215018,38.22819753351326,0.35714285714285715,0.0,random walk
beat_vs_guide,dd_rel_plc,d45,control,ctrl_rel_plc_d45,14,0.01877888347888796,0.011874735244577425,1.5814149193316374,43.29731607315735,0.2857142857142857,0.0,random walk
beat_vs_guide,dd_rel_plc,d60,candidate,dd_rel_plc_d60,14,0.016092708575543714,0.011874735244577425,1.3552056735658522,38.188579962181045,0.35714285714285715,0.0,random walk
beat_vs_guide,dd_rel_plc,d60,control,ctrl_rel_plc_d60,14,0.018166386857042884,0.011874735244577425,1.5298351064575129,41.74902009433957,0.2857142857142857,0.0,random walk
beat_vs_guide,dd_rel_plc,full,candidate,dd_rel_plc_full,14,0.016458090086113746,0.011874735244577425,1.3859753288924317,39.377238514215854,0.35714285714285715,0.0,random walk
beat_vs_guide,dd_rel_plc,full,control,ctrl_rel_plc_full,14,0.017498998330124374,0.011874735244577425,1.4736327143053785,39.060421265432794,0.35714285714285715,0.0,random walk
